Mods count: 154
 
                                                          jar name                                                           |    notes     |                  mod id                   |                    mod name                     |          mod version          |                                                                                                                                                                                                                                                                                      mixin configs                                                                                                                                                                                                                                                                                       |              modrinth hash               | curseforge hash
contraption-lights-neoforge-1.21.1-1.5.0.jar                                                                                 |              | contraptionlights                         | Contraption Lights                              | 1.5.0                         | contraptionlights.veilshader.mixins.json, contraptionlights.create.mixins.json, contraptionlights.ragdoll.mixins.json, contraptionlights.sable.mixins.json, contraptionlights.flywheel.mixins.json, contraptionlights.sodium.mixins.json, contraptionlights.color.mixins.json                                                                                                                                                                                                                                                                                                            | b0ff192828203892382a374f264b033a41326c8a | 1558011508     
    /META-INF/jarjar/contraptionlights-fixes-neoforge-1.21.1-1.5.0.jar                                                       |              | contraptionlightsfixes                    | Contraption Lights Fixes                        | 1.5.0                         | contraptionlightsfixes.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |                                          |                
copycats-3.0.9+mc.1.21.1-neoforge.jar                                                                                        |              | copycats                                  | Create: Copycats+                               | 3.0.9+mc.1.21.1-neoforge      | copycats-common.mixins.json, copycats-neoforge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | 74de17876c43f5f780bac478b9f9eb11e687b8d7 | 154763757      
coralstfc-1.21.1-neoforge-1.0.1.jar                                                                                          |              | coralstfc                                 | Corals TFC                                      | 1.0.1                         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | 701227efa0429c7530e3b89947f25bed866d72d7 | 3145894765     
coroutil-neoforge-1.21.0-1.3.8.jar                                                                                           |              | coroutil                                  | CoroUtil                                        | 1.21.0-1.3.8                  | coroutil.mixins.json, coroutil_fabric.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | b044c51d00d60b5645a0c0890812935cd933555f | 3962119445     
CrashAssistant-neoforge-1.20.6-1.21.4-1.11.12.jar                                                                            |              | crash_assistant                           | Crash Assistant                                 | 1.11.12                       | crash_assistant.mixins.json, crash_assistant.neoforge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | ec9e35065ce3a49ecec6bd6ff7fec6992476f7bb | 815653576      
    /META-INF/jarjar/app.jar                                                                                                 |              |                                           |                                                 |                               |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |                                          |                
    /META-INF/jarjar/crash_assistant-neoforge.jar                                                                            |              | crash_assistant                           | Crash Assistant                                 | 1.11.12                       | crash_assistant.mixins.json, crash_assistant.neoforge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |                                          |                
Create Encased-1.21.1-1.9.0-ht3.jar                                                                                          |              | createcasing                              | Create Encased                                  | 1.9.0-ht3                     | createcasing.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | bc749c8ec3ad4fef7d5a052c904008971158f274 | 757105229      
create-1.21.1-6.0.10.jar                                                                                                     |              | create                                    | Create                                          | 6.0.10                        | create.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | 0e97e49837bed766e6f28a4c95b04885d6acc353 | 522093599      
    /META-INF/jarjar/flywheel-neoforge-1.21.1-1.0.6.jar                                                                      |              | flywheel                                  | Flywheel                                        | 1.0.6                         | flywheel.impl.mixins.json, flywheel.impl.neoforge.mixins.json, flywheel.backend.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jarjar/ponder-neoforge-1.0.82+mc1.21.1.jar                                                                     |              | ponder                                    | Ponder                                          | 1.0.82+mc1.21.1               | ponder-common.mixins.json, ponder.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |                                          |                
    /META-INF/jarjar/Registrate-MC1.21-1.3.0+67.jar                                                                          |              |                                           |                                                 |                               |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |                                          |                
create-access-denied-0.0.4+c6.0.10.mc1.21.1.jar                                                                              |              | create_access_denied                      | Create: Access Denied                           | 0.0.4+c6.0.10.mc1.21.1        | create_access_denied.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | 73f9956e6be9261ab61be81a647ba5030d877bc8 | 1025218233     
create-aeronautics-bundled-1.21.1-1.3.2.jar                                                                                  |              | aeronautics_bundled                       | Create Aeronautics                              | 1.3.2                         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | ddbe9cbc25e8f663218aa1e9fdfc4b99f0e11e4b | 634506361      
