[13Sept2026 16:59:36.350] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "aeroworks-1.5.0.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/TerraFirmaAero/minecraft/mods}, reader: mod manifest]
[13Sept2026 16:59:36.355] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "afc-2.1.3-1.21.1.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/TerraFirmaAero/minecraft/mods}, reader: mod manifest]
[13Sept2026 16:59:36.356] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "architectury-13.0.11-neoforge.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/TerraFirmaAero/minecraft/mods}, reader: mod manifest]
[13Sept2026 16:59:36.358] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "azimuth-1.4.8.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/TerraFirmaAero/minecraft/mods}, reader: mod manifest]
[13Sept2026 16:59:36.360] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Beneath-NeoForge-1.21.1-2.0.4.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/TerraFirmaAero/minecraft/mods}, reader: mod manifest]
[13Sept2026 16:59:36.361] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "better-advanced-tooltips-2101.1.0-build.5.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/TerraFirmaAero/minecraft/mods}, reader: mod manifest]
[13Sept2026 16:59:36.364] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found gamelibrary file "bits_n_bobs-2.3.4.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/TerraFirmaAero/minecraft/mods}, reader: mod manifest]
[13Sept2026 16:59:36.366] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "BlockRunner-v21.1.2-1.21.1-NeoForge.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/TerraFirmaAero/minecraft/mods}, reader: mod manifest]
[13Sept2026 16:59:36.368] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "burningblock-1.0.0.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/TerraFirmaAero/minecraft/mods}, reader: mod manifest]
[13Sept2026 16:59:36.369] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "burningblocktfc-1.0.0.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/TerraFirmaAero/minecraft/mods}, reader: mod manifest]
[13Sept2026 16:59:36.371] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "cbc_going_ballistic-0.3.1.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/TerraFirmaAero/minecraft/mods}, reader: mod manifest]
[13Sept2026 16:59:36.383] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "chat_heads-0.15.7-neoforge-1.21.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/TerraFirmaAero/minecraft/mods}, reader: mod manifest]
[13Sept2026 16:59:36.384] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Chunky-NeoForge-1.4.23.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/TerraFirmaAero/minecraft/mods}, reader: mod manifest]
[13Sept2026 16:59:36.386] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "contraption-lights-neoforge-1.21.1-1.5.0.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/TerraFirmaAero/minecraft/mods}, reader: mod manifest]
[13Sept2026 16:59:36.388] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "copycats-3.0.9+mc.1.21.1-neoforge.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/TerraFirmaAero/minecraft/mods}, reader: mod manifest]
[13Sept2026 16:59:36.389] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "coralstfc-1.21.1-neoforge-1.0.1.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/TerraFirmaAero/minecraft/mods}, reader: mod manifest]
[13Sept2026 16:59:36.391] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "coroutil-neoforge-1.21.0-1.3.8.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/TerraFirmaAero/minecraft/mods}, reader: mod manifest]
[13Sept2026 16:59:36.395] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Create Encased-1.21.1-1.9.0-ht3.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/TerraFirmaAero/minecraft/mods}, reader: mod manifest]
[13Sept2026 16:59:36.401] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create-1.21.1-6.0.10.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/TerraFirmaAero/minecraft/mods}, reader: mod manifest]
[13Sept2026 16:59:36.402] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create-access-denied-0.0.4+c6.0.10.mc1.21.1.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/TerraFirmaAero/minecraft/mods}, reader: mod manifest]
[13Sept2026 16:59:36.403] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create-aeronautics-bundled-1.21.1-1.3.2.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/TerraFirmaAero/minecraft/mods}, reader: mod manifest]
[13Sept2026 16:59:36.404] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create-aeronautics-lift-patch-1.1.0.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/TerraFirmaAero/minecraft/mods}, reader: mod manifest]
[13Sept2026 16:59:36.405] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create_aero_radar-0.1.1-1.21.1.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/TerraFirmaAero/minecraft/mods}, reader: mod manifest]
[13Sept2026 16:59:36.407] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create_aeronautics_automated_logistics-0.6.2.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/TerraFirmaAero/minecraft/mods}, reader: mod manifest]
[13Sept2026 16:59:36.409] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create_aeronautics_toolgun-0.3.6.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/TerraFirmaAero/minecraft/mods}, reader: mod manifest]
[13Sept2026 16:59:36.411] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create_aquatic_ambitions-1.21.1-2.0.4.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/TerraFirmaAero/minecraft/mods}, reader: mod manifest]
[13Sept2026 16:59:36.412] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create_connected-1.3.3-mc1.21.1.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/TerraFirmaAero/minecraft/mods}, reader: mod manifest]
[13Sept2026 16:59:36.415] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create_radar-0.4.9.4-1.21.1.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/TerraFirmaAero/minecraft/mods}, reader: mod manifest]
[13Sept2026 16:59:36.416] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create_ultimate_factory-2.2.4-neoforge-1.21.1.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/TerraFirmaAero/minecraft/mods}, reader: mod manifest]
